S,I,R,S_obs,I_obs,R_obs
0.999999,1e-06,0.0,5.000000000000001e-07,1.4999999999999998e-06,0.999998
0.999998992924695,1.0052703785278496e-06,1.8049265850348186e-09,5.02635189263925e-07,1.5079055677917742e-06,0.999997989459243
0.999998985812104,1.0105685311115312e-06,3.6193648631147068e-09,5.052842655557657e-07,1.5158527966672966e-06,0.9999979788629378
0.9999989786620385,1.0158945985553025e-06,5.443363055204185e-09,5.079472992776512e-07,1.5238418978329537e-06,0.9999979682108028
0.9999989714742777,1.0212487449583543e-06,7.27697736004258e-09,5.106243724791775e-07,1.5318731174375312e-06,0.9999979575025101
0.9999989642486914,1.0266310675659196e-06,9.120241081046295e-09,5.133155337829599e-07,1.5399466013488793e-06,0.9999979467378649
0.9999989569850529,1.0320417351065778e-06,1.0973212002383299e-08,5.160208675532891e-07,1.5480626026598665e-06,0.9999979359165297
0.9999989496831522,1.0374809041346761e-06,1.28359437389285e-08,5.187404520673381e-07,1.5562213562020142e-06,0.9999979250381917
0.999998942342779,1.042948731204562e-06,1.4708489905556795e-08,5.214743656022812e-07,1.5644230968068426e-06,0.9999979141025376
0.999998934963723,1.0484453728705828e-06,1.65909041171431e-08,5.242226864352916e-07,1.572668059305874e-06,0.9999979031092542
0.9999989275457744,1.053970985687086e-06,1.8483239988562313e-08,5.269854928435431e-07,1.5809564785306287e-06,0.9999978920580287
0.9999989200887227,1.0595257262084187e-06,2.0385551134689337e-08,5.297628631042095e-07,1.589288589312628e-06,0.9999978809485476
0.999998912592358,1.0651097509889287e-06,2.2297891170399088e-08,5.325548754944645e-07,1.597664626483393e-06,0.999997869780498
0.9999989050564698,1.0707232165829633e-06,2.4220313710566452e-08,5.353616082914819e-07,1.6060848248744448e-06,0.9999978585535668
0.9999988974808481,1.07636627954487e-06,2.6152872370066344e-08,5.381831397724353e-07,1.6145494193173047e-06,0.999997847267441
0.9999988898652828,1.082039096428996e-06,2.8095620763773675e-08,5.410195482144981e-07,1.623058644643494e-06,0.9999978359218072
0.9999988822095637,1.0877418238649432e-06,3.0048612532336876e-08,5.438709119324717e-07,1.6316127357974147e-06,0.9999978245163522
0.9999988745134727,1.0934746241273712e-06,3.2011903249749704e-08,5.467373120636857e-07,1.6402119361910566e-06,0.9999978130507517
0.9999988667767936,1.0992376583606508e-06,3.398554810289968e-08,5.496188291803255e-07,1.648856487540976e-06,0.9999978015246832
0.9999988589993143,1.10503108455477e-06,3.596960119834637e-08,5.525155422773851e-07,1.657546626832155e-06,0.9999977899378308
0.9999988511808228,1.1108550606997162e-06,3.796411664264937e-08,5.554275303498582e-07,1.6662825910495742e-06,0.9999977782898787
0.9999988433211068,1.1167097447854768e-06,3.996914854236825e-08,5.583548723927385e-07,1.675064617178215e-06,0.9999977665805105
0.9999988354199543,1.1225952948020395e-06,4.198475100406258e-08,5.612976474010198e-07,1.6838929422030593e-06,0.9999977548094104
0.9999988274771532,1.1285118687393917e-06,4.401097813429194e-08,5.642559343696961e-07,1.6927678031090874e-06,0.9999977429762624
0.9999988194924915,1.134459624587521e-06,4.604788403961591e-08,5.672298122937605e-07,1.7016894368812816e-06,0.9999977310807507
0.9999988114657569,1.140438720336415e-06,4.8095522826594045e-08,5.702193601682076e-07,1.7106580805046224e-06,0.9999977191225593
0.9999988033967375,1.146449313976061e-06,5.015394860178595e-08,5.732246569880306e-07,1.7196739709640915e-06,0.999997707101372
0.9999987952852211,1.1524915634964466e-06,5.222321547175119e-08,5.762457817482236e-07,1.7287373452446696e-06,0.999997695016873
